attn_output_shape,attn_weights_shape,deep_exit,forward_id,input_important_visual_tokens,layer_idx,phase,result_type,selected_visual_token_count,selected_visual_token_indices,value_states_shape
"[1, 624, 4096]","[1, 32, 624, 624]",,1,,7,prefill,none,0,,"[1, 32, 624, 128]"
"[1, 624, 4096]","[1, 32, 624, 624]",,1,,8,prefill,none,0,,"[1, 32, 624, 128]"
"[1, 624, 4096]","[1, 32, 624, 624]",,1,,9,prefill,none,0,,"[1, 32, 624, 128]"
"[1, 624, 4096]","[1, 32, 624, 624]",,1,,10,prefill,none,0,,"[1, 32, 624, 128]"
"[1, 624, 4096]","[1, 32, 624, 624]",,1,,11,prefill,none,0,,"[1, 32, 624, 128]"
"[1, 624, 4096]","[1, 32, 624, 624]",,1,,12,prefill,none,0,,"[1, 32, 624, 128]"
"[1, 624, 4096]","[1, 32, 624, 624]",,1,,13,prefill,none,0,,"[1, 32, 624, 128]"
"[1, 624, 4096]","[1, 32, 624, 624]",,1,,14,prefill,none,0,,"[1, 32, 624, 128]"
"[1, 624, 4096]","[1, 32, 624, 624]",,1,,15,prefill,none,0,,"[1, 32, 624, 128]"
"[1, 624, 4096]","[1, 32, 624, 624]",,1,,16,prefill,none,0,,"[1, 32, 624, 128]"
"[1, 624, 4096]","[1, 32, 624, 624]",,1,,17,prefill,none,0,,"[1, 32, 624, 128]"
"[1, 624, 4096]","[1, 32, 624, 624]",,1,,18,prefill,tensor,10,"[109, 296, 370, 376, 390, 437, 490, 499, 504, 511]","[1, 32, 624, 128]"
"[1, 58, 4096]","[1, 32, 58, 58]",False,1,10,19,prefill,bool,,,"[1, 32, 58, 128]"
"[1, 58, 4096]","[1, 32, 58, 58]",False,1,10,20,prefill,bool,,,"[1, 32, 58, 128]"
"[1, 58, 4096]","[1, 32, 58, 58]",False,1,10,21,prefill,bool,,,"[1, 32, 58, 128]"
"[1, 58, 4096]","[1, 32, 58, 58]",False,1,10,22,prefill,bool,,,"[1, 32, 58, 128]"
"[1, 58, 4096]","[1, 32, 58, 58]",False,1,10,23,prefill,bool,,,"[1, 32, 58, 128]"
"[1, 58, 4096]","[1, 32, 58, 58]",False,1,10,24,prefill,bool,,,"[1, 32, 58, 128]"
"[1, 58, 4096]","[1, 32, 58, 58]",True,1,10,25,prefill,bool,,,"[1, 32, 58, 128]"
"[1, 58, 4096]","[1, 32, 58, 58]",False,1,10,26,prefill,bool,,,"[1, 32, 58, 128]"
"[1, 58, 4096]","[1, 32, 58, 58]",True,1,10,27,prefill,bool,,,"[1, 32, 58, 128]"
