event_id,row_count,output_csv
input1_layer0,91,input1_layer0/dispatch_ops.csv
input1_layer5,83,input1_layer5/dispatch_ops.csv
input1_layer6,75,input1_layer6/dispatch_ops.csv
input1_layer7,97,input1_layer7/dispatch_ops.csv
input1_layer8,97,input1_layer8/dispatch_ops.csv
input1_layer9,97,input1_layer9/dispatch_ops.csv
input1_layer10,97,input1_layer10/dispatch_ops.csv
input1_layer11,97,input1_layer11/dispatch_ops.csv
input1_layer12,97,input1_layer12/dispatch_ops.csv
input1_layer13,97,input1_layer13/dispatch_ops.csv
input1_layer14,97,input1_layer14/dispatch_ops.csv
input1_layer15,97,input1_layer15/dispatch_ops.csv
input1_layer16,97,input1_layer16/dispatch_ops.csv
input1_layer17,97,input1_layer17/dispatch_ops.csv
input1_layer18,104,input1_layer18/dispatch_ops.csv
input1_layer19,100,input1_layer19/dispatch_ops.csv
input1_layer20,100,input1_layer20/dispatch_ops.csv
input1_layer21,100,input1_layer21/dispatch_ops.csv
input1_layer22,100,input1_layer22/dispatch_ops.csv
input1_layer23,100,input1_layer23/dispatch_ops.csv
input1_layer24,100,input1_layer24/dispatch_ops.csv
input1_layer25,100,input1_layer25/dispatch_ops.csv
input1_layer26,100,input1_layer26/dispatch_ops.csv
input1_layer27,100,input1_layer27/dispatch_ops.csv
input1_layer28,83,input1_layer28/dispatch_ops.csv
input2_layer18,76,input2_layer18/dispatch_ops.csv
input2_layer19,76,input2_layer19/dispatch_ops.csv
input2_layer27,76,input2_layer27/dispatch_ops.csv
input2_layer28,76,input2_layer28/dispatch_ops.csv
input2_layer31,76,input2_layer31/dispatch_ops.csv
input32_layer18,76,input32_layer18/dispatch_ops.csv
input32_layer19,76,input32_layer19/dispatch_ops.csv
input32_layer27,76,input32_layer27/dispatch_ops.csv
input32_layer28,76,input32_layer28/dispatch_ops.csv
input32_layer31,76,input32_layer31/dispatch_ops.csv
